Age,Years_of_Experience,Education_Level,Job_Role,City_Tier,Salary
25,3.6,High School,Junior,Tier 3,646155.0
38,13.9,High School,Junior,Tier 1,420727.0
28,7.5,Bachelor,Senior,Tier 2,1660617.0
44,23.9,Bachelor,Junior,Tier 3,1212311.0
34,8.1,High School,Junior,Tier 1,334560.0
63,38.4,Master,Lead,Tier 1,2086378.0
24,2.3,Bachelor,Junior,Tier 3,556963.0
55,32.4,High School,Mid,Tier 1,401519.0
65,43.0,High School,Junior,Tier 3,1047516.0
36,12.3,Bachelor,Mid,Tier 1,817743.0
26,5.8,High School,Mid,Tier 1,407540.0
48,27.6,High School,Junior,Tier 3,1031561.0
43,21.1,Master,Manager,Tier 1,2789023.0
20,0.3,Bachelor,Junior,Tier 3,727345.0
43,21.9,High School,Mid,Tier 2,757181.0
37,13.3,High School,Junior,Tier 3,500994.0
40,18.7,PhD,Lead,Tier 1,2552782.0
34,10.1,Bachelor,Senior,Tier 1,1616673.0
34,13.8,Bachelor,Junior,Tier 2,581193.0
25,2.9,Bachelor,Lead,Tier 2,1424206.0
25,2.6,Bachelor,Lead,Tier 1,1330341.0
45,21.6,High School,Mid,Tier 1,1284920.0
22,2.4,High School,Mid,Tier 1,590011.0
23,0.7,High School,Junior,Tier 2,396721.0
54,31.1,High School,Mid,Tier 1,592891.0
32,9.3,Bachelor,Lead,Tier 1,1487296.0
46,25.1,Bachelor,Manager,Tier 1,2756546.0
56,34.7,High School,Junior,Tier 2,344863.0
24,2.8,Bachelor,Mid,Tier 3,611444.0
23,1.9,Bachelor,Senior,Tier 1,1131360.0
26,8.0,High School,Manager,Tier 1,2002790.0
36,13.2,Bachelor,Lead,Tier 2,2092954.0
22,0.0,High School,Junior,Tier 3,278345.0
17,0.0,High School,Junior,Tier 2,384221.0
20,0.0,High School,Mid,Tier 3,634205.0
65,45.3,Master,Lead,Tier 1,2086799.0
44,21.8,Bachelor,Mid,Tier 2,1265766.0
36,12.3,High School,Junior,Tier 2,382411.0
29,5.4,High School,Junior,Tier 3,541953.0
20,0.0,Bachelor,Junior,Tier 3,577020.0
28,7.5,Bachelor,Lead,Tier 1,1981296.0
39,18.1,High School,Mid,Tier 3,575800.0
54,30.7,Bachelor,Mid,Tier 3,685047.0
52,30.5,High School,Junior,Tier 2,350559.0
56,34.2,High School,Manager,Tier 1,2001672.0
18,0.0,Bachelor,Junior,Tier 1,319600.0
39,18.7,High School,Junior,Tier 2,557793.0
21,0.0,Bachelor,Junior,Tier 3,812702.0
22,1.4,High School,Junior,Tier 1,1049508.0
38,16.1,High School,Manager,Tier 1,1821271.0
